(improve-health ?pcyou[person??])
(has-health ?person)
(is-fit ?body)
(is-consistent ?weight-loss-diet)
(is-a-way ?thing)
(is-for-a-person ?way)
(is-best ?way)
(is-stronger ?body)
(has-a-fighting-form ?person)
(is-best ?fighting-form)
(is-from-experts ?ome_number_of-guidelines)
(is-realistic ?approach)
(has-goals ?person)
(enable-someone ?ability)
(is-proper ?mindset)
(is-extra ?pound)
(was-discourage--ed ?dieter)
(comprise-of-some_number_of-exercise ?strategy)
(has-a-strategy ?person)
(is-ambitious ?weight-los-plans)
(has-weight-loss-plans ?people)
(is-long-term ?weight-los-plans)
(is-small-serving ?nacks)
(prevent-over-eating ?eating[person??])
(is-small ?ervings)
(increase-a-metabolism ?thing)
(has-a-metabolism ?person)
(burn ?calory)
(is-constituted_of_or_filled_with-everything ?note)
(eat ?person)
(do ?person)
(is-a-proposition ?thing-referred-to)
(has ?person)
(find-a-proposition ?person)
(eat ?person)
(is-healthy ?meal)
(make_up-of-a-weight-loss-plan ?thing)
(is-sensible ?weight-loss-plan)
(bite-by-bit ?build[person??])
(mean-a-proposition ?thing)
(exercise ?person)
(is-for-a-week ?weight-loss-plan)
(has-a-weight-loss-plan ?person)
(is-best ?weight-loss-plan)
(is-one-mile ?rout)
(walk ?person)
(is-all-or-nothing ?attitude)
(has-efforts ?person)
(do ?person)
(is-perfect ?record)
(is-a-part-of-weight-loss-plans ?self-encouragement)
(has-a-part ?weight-los-plans)
(has-weight-loss-plans ?person)
(fail-in-an-end ?person)
(is-fat ?content)
(has-milk-products ?person)
(drink-milk ?person)
(is-fat ?cheese)
(buy-yogurt ?person)
(do ?thing-referred-to)
(undergo-servings ?fruit)
(is-for-dessert ?thing)
(frui ?limit[person??])
(is-full-of-sugar ?thing-referred-to)
(is-milky ?drink)
(is-refreshing-in-a-morning ?water)
(is-with-a-slice-of-lemon ?water)
(is-hot ?water)
(is-constituted_of_or_filled_with-lemon ?slice)
(is-at-lunch ?vegetabl)
(get-hungry ?person)
(is-full ?person)
(race-through-meals ?person)
(has-meals ?person)
(is-possible ?grain)
(give-a-person-a-fuller-feeling ?fiber)
(has-a-digestion ?person)
(is-low-impact ?aerobic)
(is-good-for-a-heart ?aerobic)
(is-by-endurance ?heart)
(is-increasing ?endurance)
(is-cardio-vascular ?endurance)
(is-lean ?muscle-mass)
(is-excess ?body-fat)
(has-a-rest ?life)
(has-a-life ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
(interfere-with-work ?thing-referred-to)
(has-work ?person)
