(has-tour-season ?continent ?tour-season)
(has-summer ?southern_hemisphere[person??] ?summer)
(is-cold ?some_number_of-times-of-a-year)
(has-times ?year)
(freeze_out-a-way ?pack-ice)
(is-long ?way)
(include ?some_number_of-thing-of-things)
(has-thing ?thing ?thing)
(expect ?person)
(is-for-penguins ?mating-season)
(chick-hatch ?penguin)
(is-breeding ?ground)
(travel-with-someone ?person)
(is-shared ?accommodation)
(is-on-a-boat ?berth)
(is-single ?berth)
(has-ticket-prices ?airline[person??])
(is-from-a-seat ?visibility)
(is-good ?visibility)
(has-seat ?person ?seat)
(is-usual ?economy)
(do ?person)
(is-suitable ?skill)
(is-technical ?skill)
(is-large ?group)
(is-for-government-employment ?background)
(is-suitable ?background)
(is-invited ?part)
(get ?some_number_of-people)
(has-trip ?individual--s ?trip)
(depend-on-skills ?thing)
(has-skills ?person)
(travel-by-ship ?visitors-to-a-continent)
(is-to-a-continent ?visitor)
(take_across-yachts ?traveler)
(is-intrepid ?traveler)
(is-large ?ship)
(is-highest ?level)
(is-highest ?number)
(is-high ?sea)
(is-strict ?guideline)
(visit ?people)
(limit-opportunities ?shore)
(has-opportunities ?person)
(is-smaller ?ship)
(is-topeople ?landings-of-tour-groups)
(undergo-landings ?tour-groups)
(is-commonplace ?thing)
(is-in-some_number_of-years ?visit)
(is-onlyyacht ?visit)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(is-party-affair ?thing)
(is-private ?party-affair)
(is-relevant ?yacht-owners)
(has-thing ?basic ?thing)
(has-trash ?person ?trash)
(has-value ?some_number_of-structures)
(is-human-built ?structure)
(is-historical ?value)
(has-heritage-listings ?some_number_of-huts)
(is-else ?photo)
(was ?individual--s)
